,symbol,instrument_token,date,open,high,low,close,volume
1972,ALKEM,2995969,2025-09-10,5359.5,5545.0,5298.0,5503.0,907904
1973,ALKEM,2995969,2025-09-17,5507.0,5577.5,5454.5,5544.5,1262880
1974,ALKEM,2995969,2025-09-24,5545.5,5591.0,5362.5,5425.0,886357
1975,ALKEM,2995969,2025-10-01,5392.0,5536.5,5369.5,5492.0,498359
1976,ALKEM,2995969,2025-10-08,5503.5,5560.5,5412.5,5493.0,613475
1977,ALKEM,2995969,2025-10-15,5519.5,5648.0,5498.5,5547.5,523866
1978,ALKEM,2995969,2025-10-23,5575.5,5599.0,5321.0,5432.0,395343
1979,ALKEM,2995969,2025-10-29,5432.0,5545.0,5415.5,5525.0,204610
1980,JSWSTEEL,3001089,2025-07-23,1034.0,1051.3,1017.4,1034.9,7621973
1981,JSWSTEEL,3001089,2025-07-30,1046.4,1063.4,1018.0,1053.4,9891065
1982,JSWSTEEL,3001089,2025-08-06,1059.0,1074.9,1041.7,1048.2,8593680
1983,JSWSTEEL,3001089,2025-08-13,1052.2,1088.0,1038.9,1073.4,7116836
1984,JSWSTEEL,3001089,2025-08-20,1072.0,1089.2,1044.7,1047.1,8650929
1985,JSWSTEEL,3001089,2025-08-28,1047.1,1055.1,1022.3,1044.0,4070863
1986,JSWSTEEL,3001089,2025-09-03,1042.0,1112.3,1040.0,1104.5,9306433
1987,JSWSTEEL,3001089,2025-09-10,1108.0,1117.9,1090.5,1115.2,5425882
1988,JSWSTEEL,3001089,2025-09-17,1119.5,1148.0,1105.0,1138.4,5988234
1989,JSWSTEEL,3001089,2025-09-24,1138.4,1167.9,1119.7,1142.7,12079383
1990,JSWSTEEL,3001089,2025-10-01,1145.0,1175.8,1132.2,1156.8,5888354
1991,JSWSTEEL,3001089,2025-10-08,1158.0,1178.8,1139.4,1147.8,6094640
1992,JSWSTEEL,3001089,2025-10-15,1147.8,1178.0,1139.4,1152.5,5477922
1993,JSWSTEEL,3001089,2025-10-23,1161.0,1186.4,1131.5,1184.2,7787888
